nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 67 67 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 67 67 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 68 68 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 68 68 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 68 68 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 282912 46678 104405 4LVBQDK 68 68 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 72 72 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 70 70 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 70 70 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 281073 45676 105138 5LVBQDK 69 69 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 78 78 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 77 77 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 76 76 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 76 76 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 76 76 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 76 76 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 76 76 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 75 75 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 75 75 0 0 0 0 0 0 0 0 0
