nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
NY 264346 733846 36946 2LVBQDK 67 67 3255709 1412265 113292 301538871 653448000 27566 516 61740 80602609 880690
NY 264346 733846 36946 2LVBQDK 66 66 3283381 1438835 113206 301425961 653447260 28002 0 61740 80602042 877818
NY 264346 733846 36946 2LVBQDK 65 65 3275123 1425507 112053 296543452 653447975 27529 258 61740 80602410 876101
NY 264346 733846 36946 2LVBQDK 66 66 3290848 1447570 112984 301092388 653447319 31714 0 61740 80602058 876857
NY 264346 733846 36946 2LVBQDK 67 67 3275645 1435879 112934 302926917 653447322 27715 0 61740 80602050 876930
NY 264346 733846 36946 2LVBQDK 66 66 3275875 1438388 113848 301552003 653447268 31095 0 61740 80602042 878381
NY 264346 733846 36946 2LVBQDK 67 67 3287957 1443612 114133 300859881 653447691 30763 0 61740 80602139 878091
NY 264346 733846 36946 2LVBQDK 67 67 3265992 1435216 115148 302118326 653447318 28198 0 61740 80602050 878215
NY 264346 733846 36946 2LVBQDK 66 66 3276321 1438654 113485 300573231 653447679 28843 0 61740 80602135 876959
NY 264346 733846 36946 3LVBQDK 76 76 3157469 1367163 111081 338330147 756378001 27569 2808 61740 88458095 990605
NY 264346 733846 36946 3LVBQDK 74 74 3300761 1503662 110834 337161513 756375939 28942 516 61740 88455849 997018
NY 264346 733846 36946 3LVBQDK 74 74 3332194 1536273 110714 335535622 756375007 28998 0 61740 88455234 981096
NY 264346 733846 36946 3LVBQDK 74 74 3329392 1525224 108703 332661455 756375886 29517 258 62216 88455645 970841
NY 264346 733846 36946 3LVBQDK 74 74 3329016 1536008 110506 334140564 756375271 28758 0 62216 88455298 982647
NY 264346 733846 36946 3LVBQDK 74 74 3340948 1538554 111136 334165852 756375111 28910 0 62216 88455254 973783
NY 264346 733846 36946 3LVBQDK 74 74 3338271 1539280 110899 334651599 756375047 30860 0 62216 88455244 972060
NY 264346 733846 36946 3LVBQDK 74 74 3330086 1536584 110009 335993526 756375621 30104 0 62216 88455378 978164
NY 264346 733846 36946 3LVBQDK 74 74 3337071 1535824 110696 334116322 756375254 28403 0 62216 88455291 983886
NY 264346 733846 36946 3LVBQDK 74 74 3326061 1533652 110543 333818528 756375619 28166 0 62216 88455376 975807
NY 264346 733846 36946 4LVBQDK 78 78 3064195 1359849 110801 345055855 787923909 32152 2808 62216 88597085 924632
NY 264346 733846 36946 4LVBQDK 76 76 3220380 1505540 110592 342636485 787922001 30924 516 62216 88594875 920806
NY 264346 733846 36946 4LVBQDK 75 75 3253381 1537128 110290 342427808 787921071 26799 0 62216 88594262 928973
NY 264346 733846 36946 4LVBQDK 76 76 3247062 1526650 108638 341567175 787921947 29176 258 62216 88594671 918086
NY 264346 733846 36946 4LVBQDK 76 76 3248691 1534674 111128 344276605 787921336 29512 0 62216 88594327 916895
NY 264346 733846 36946 4LVBQDK 75 75 3260713 1539756 110134 341814250 787921172 30589 0 62216 88594279 915447
NY 264346 733846 36946 4LVBQDK 75 75 3252224 1540834 108881 341820065 787921109 30325 0 62216 88594270 926718
NY 264346 733846 36946 4LVBQDK 76 76 3249512 1541808 109853 341770521 787921681 26714 0 62216 88594402 931647
NY 264346 733846 36946 4LVBQDK 76 76 3251470 1535918 108655 341902896 787921314 27263 0 62216 88594315 923481
NY 264346 733846 36946 4LVBQDK 75 75 3252160 1538869 109628 342018223 787921681 28915 0 62216 88594402 922928
NY 264346 733846 36946 5LVBQDK 78 78 3061642 1355377 111723 346120835 792947578 30307 2808 62216 88648290 917958
NY 264346 733846 36946 5LVBQDK 76 76 3204252 1493384 110778 342941189 792945662 30040 516 62216 88646072 914562
NY 264346 733846 36946 5LVBQDK 76 76 3225427 1519894 113237 344299660 792944735 28760 0 62216 88645462 910962
NY 264346 733846 36946 5LVBQDK 77 77 3227484 1518794 110490 345470497 792945611 31955 258 62216 88645871 939038
NY 264346 733846 36946 5LVBQDK 76 76 3252467 1534210 110016 341828994 792944996 30623 0 62216 88645523 910947
NY 264346 733846 36946 5LVBQDK 76 76 3248410 1535105 112039 343560444 792944839 29671 0 62216 88645482 921215
NY 264346 733846 36946 5LVBQDK 75 75 3249922 1532834 107302 340255555 792944771 31329 0 62216 88645468 904068
NY 264346 733846 36946 5LVBQDK 76 76 3234115 1527132 111213 342568876 792945345 29782 0 62216 88645602 902977
NY 264346 733846 36946 5LVBQDK 75 75 3234037 1523654 110560 341198716 792944978 26648 0 62216 88645515 902838
NY 264346 733846 36946 5LVBQDK 76 76 3236434 1526916 110626 342004097 792945343 28880 0 62216 88645600 901732
NY 264346 733846 36946 6LVBQDK 85 85 3129742 1330493 114153 373556257 866729393 30830 2808 62216 88064804 966032
NY 264346 733846 36946 6LVBQDK 83 83 3276675 1475559 113257 371036671 866727480 31560 516 62216 88062589 964860
NY 264346 733846 36946 6LVBQDK 82 82 3301660 1502441 113447 371609183 866726550 28979 0 62216 88061976 965366
NY 264346 733846 36946 6LVBQDK 81 81 3289773 1494943 112538 365403880 866727426 28841 258 62216 88062385 964432
NY 264346 733846 36946 6LVBQDK 82 82 3319316 1512684 111462 371089909 866726815 31584 0 62216 88062041 964642
NY 264346 733846 36946 6LVBQDK 82 82 3311073 1507185 112750 371475026 866726652 32855 0 62216 88061994 965066
NY 264346 733846 36946 6LVBQDK 82 82 3303733 1508724 112549 371213988 866726588 28967 0 62216 88061984 965266
NY 264346 733846 36946 6LVBQDK 82 82 3294867 1505906 113465 370820961 866727161 30397 0 62216 88062117 965208
NY 264346 733846 36946 6LVBQDK 82 82 3303751 1504995 113340 371326691 866726794 31127 0 62216 88062030 963919
NY 264346 733846 36946 6LVBQDK 82 82 3305221 1510163 113323 370823184 866727161 30697 0 62216 88062117 964819
NY 264346 733846 36946 BINH 110 110 1807223 1077004 107789 496374354 1141404129 21367 259 62216 148200390 3067559
NY 264346 733846 36946 BINH 111 111 1786805 1057182 107908 500068863 1141404621 21361 516 62216 148200691 3070052
NY 264346 733846 36946 BINH 111 111 1790074 1060553 108583 497801713 1141405031 24142 517 62216 148200784 3063080
NY 264346 733846 36946 BINH 111 111 1835307 1090601 106538 500304122 1141404428 21847 0 62216 148200253 3067055
NY 264346 733846 36946 BINH 111 111 1818066 1090768 108367 499313137 1141404034 22293 0 62216 148200154 3064463
NY 264346 733846 36946 BINH 111 111 1822756 1091126 106742 498341355 1141404206 23566 0 62216 148200204 3056476
NY 264346 733846 36946 BINH 111 111 1826788 1092463 105925 496469198 1141404034 21630 0 62216 148200154 3060448
NY 264346 733846 36946 BINH 110 110 1820872 1090513 107243 496693962 1141404204 22646 0 62216 148200202 3056431
NY 264346 733846 36946 BINH 110 110 1831649 1094756 106379 497305451 1141404034 21904 0 62216 148200154 3061592
NY 264346 733846 36946 BINH 111 111 1829267 1094053 105771 497671404 1141404204 23457 0 62216 148200202 3057950
NY 264346 733846 36946 FIBH 150 150 3916689 1893947 155387 673336866 1230423429 45911 3214 65936 143469618 2865066
NY 264346 733846 36946 FIBH 148 148 4071100 2039065 152521 670435570 1228734916 43848 516 67984 143466788 2856488
NY 264346 733846 36946 FIBH 146 146 4056092 2065720 151622 668686090 1228734165 50864 0 67984 143466206 2856859
NY 264346 733846 36946 FIBH 147 147 4262312 2073415 150196 668054000 1228735185 40976 258 69008 143466681 2857599
NY 264346 733846 36946 FIBH 146 146 4453712 2115820 143845 665126171 1228734737 45263 0 69008 143466371 2847218
NY 264346 733846 36946 FIBH 146 146 4536818 2110441 145811 661617601 1228735312 40690 258 70032 143466705 2851347
NY 264346 733846 36946 FIBH 146 146 4601023 2124790 141620 663722661 1228734566 43166 0 70032 143466331 2855577
NY 264346 733846 36946 FIBH 147 147 4113787 2079012 151262 670210653 1228734409 48019 0 70032 143466269 2859621
NY 264346 733846 36946 FIBH 146 146 4299942 2098317 146574 666089237 1228734749 46788 0 70032 143466375 2857505
NY 264346 733846 36946 FIBH 147 147 4364563 2103476 146158 667507266 1228734906 42605 0 70032 143466411 2853219
BAY 321270 800172 94305 1LVBQ 100 100 4456768 3120722 220967 437153000 902503057 67747 2779 70032 129708164 1124265
BAY 321270 800172 94305 1LVBQ 97 97 4508761 3224754 212194 430088022 901692077 65223 568 70032 129708170 1114890
