nome n m c fila extractMin insert dk 
NE 1524453 3897636 63247 6LVBQDK 1524557 1524556 138495
NE 1524453 3897636 63247 BINH 1662742 1662741 0
NE 1524453 3897636 63247 FIBH 1524453 1524452 138295
USA 23947347 58333344 368855 1LVBQ 25660175 25660174 0
USA 23947347 58333344 368855 2LVBQ 25660115 25660114 0
USA 23947347 58333344 368855 3LVBQ 31037493 31037492 0
USA 23947347 58333344 368855 4LVBQ 35939814 35939813 0
USA 23947347 58333344 368855 5LVBQ 26670476 26670475 0
USA 23947347 58333344 368855 6LVBQ 26625023 26625022 0
USA 23947347 58333344 368855 1LVBQDK 23947347 23947346 1712828
USA 23947347 58333344 368855 2LVBQDK 23947347 23947346 1712768
USA 23947347 58333344 368855 3LVBQDK 27965349 27965348 3072144
USA 23947347 58333344 368855 4LVBQDK 32175473 32175472 3764341
USA 23947347 58333344 368855 5LVBQDK 24565146 24565145 2105330
USA 23947347 58333344 368855 6LVBQDK 24534231 24534230 2090792
USA 23947347 58333344 368855 BINH 25660100 25660099 0
USA 23947347 58333344 368855 FIBH 23947347 23947346 1712793
