nome n m c fila run l1 l2 llc cycles inst
FLA 1070376 2712798 214013 FIB 759 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 757 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 757 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 770 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 765 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 767 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 762 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 761 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 762 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 761 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 759 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 758 0 0 0 0 0
LKS 2758119 6885658 138911 2LVBQDK 758 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 894 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 876 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 879 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 873 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 879 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 874 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 872 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 872 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 871 0 0 0 0 0
LKS 2758119 6885658 138911 1LVBQ 871 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1202 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1200 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1199 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1199 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1201 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1196 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1195 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1195 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1198 0 0 0 0 0
LKS 2758119 6885658 138911 BINH 1195 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2075 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2068 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2071 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2065 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2069 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2066 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2065 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2057 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2064 0 0 0 0 0
LKS 2758119 6885658 138911 FIB 2063 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5500 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5511 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5504 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5514 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5510 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5506 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5512 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5515 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5511 0 0 0 0 0
CTR 14081816 34292496 214013 2LVBQDK 5523 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5262 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5242 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5242 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5244 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5248 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5238 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5241 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5301 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5258 0 0 0 0 0
CTR 14081816 34292496 214013 1LVBQ 5284 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 8039 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 8039 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 8003 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 8580 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 8522 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 7960 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 7974 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 7970 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 7997 0 0 0 0 0
CTR 14081816 34292496 214013 BINH 7981 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12584 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12586 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12592 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12615 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12595 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12571 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12594 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12621 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12624 0 0 0 0 0
CTR 14081816 34292496 214013 FIB 12594 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1023 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1024 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1024 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1024 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1025 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1024 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1026 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1025 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1025 0 0 0 0 0
E 3598623 8778114 200760 2LVBQDK 1026 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1126 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1127 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1127 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1128 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1129 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1130 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1130 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1127 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1129 0 0 0 0 0
E 3598623 8778114 200760 1LVBQ 1129 0 0 0 0 0
E 3598623 8778114 200760 BINH 1659 0 0 0 0 0
E 3598623 8778114 200760 BINH 1660 0 0 0 0 0
E 3598623 8778114 200760 BINH 1660 0 0 0 0 0
E 3598623 8778114 200760 BINH 1658 0 0 0 0 0
E 3598623 8778114 200760 BINH 1659 0 0 0 0 0
E 3598623 8778114 200760 BINH 1661 0 0 0 0 0
E 3598623 8778114 200760 BINH 1659 0 0 0 0 0
E 3598623 8778114 200760 BINH 1660 0 0 0 0 0
E 3598623 8778114 200760 BINH 1671 0 0 0 0 0
E 3598623 8778114 200760 BINH 1666 0 0 0 0 0
E 3598623 8778114 200760 FIB 2781 0 0 0 0 0
E 3598623 8778114 200760 FIB 2782 0 0 0 0 0
E 3598623 8778114 200760 FIB 2794 0 0 0 0 0
E 3598623 8778114 200760 FIB 2793 0 0 0 0 0
E 3598623 8778114 200760 FIB 2797 0 0 0 0 0
E 3598623 8778114 200760 FIB 2798 0 0 0 0 0
E 3598623 8778114 200760 FIB 2790 0 0 0 0 0
E 3598623 8778114 200760 FIB 2797 0 0 0 0 0
E 3598623 8778114 200760 FIB 2796 0 0 0 0 0
E 3598623 8778114 200760 FIB 2791 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1850 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1850 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1856 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1858 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1855 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1855 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1853 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1855 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1854 0 0 0 0 0
W 6262104 15248146 368855 2LVBQDK 1854 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2101 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2103 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2103 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2112 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2134 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2132 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2128 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2128 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2131 0 0 0 0 0
W 6262104 15248146 368855 1LVBQ 2133 0 0 0 0 0
W 6262104 15248146 368855 BINH 3024 0 0 0 0 0
W 6262104 15248146 368855 BINH 3027 0 0 0 0 0
W 6262104 15248146 368855 BINH 3023 0 0 0 0 0
W 6262104 15248146 368855 BINH 3018 0 0 0 0 0
W 6262104 15248146 368855 BINH 3016 0 0 0 0 0
W 6262104 15248146 368855 BINH 3014 0 0 0 0 0
W 6262104 15248146 368855 BINH 3013 0 0 0 0 0
W 6262104 15248146 368855 BINH 3012 0 0 0 0 0
W 6262104 15248146 368855 BINH 3014 0 0 0 0 0
W 6262104 15248146 368855 BINH 3014 0 0 0 0 0
W 6262104 15248146 368855 FIB 5100 0 0 0 0 0
W 6262104 15248146 368855 FIB 5105 0 0 0 0 0
W 6262104 15248146 368855 FIB 5086 0 0 0 0 0
W 6262104 15248146 368855 FIB 5091 0 0 0 0 0
W 6262104 15248146 368855 FIB 5092 0 0 0 0 0
W 6262104 15248146 368855 FIB 5090 0 0 0 0 0
W 6262104 15248146 368855 FIB 5090 0 0 0 0 0
W 6262104 15248146 368855 FIB 5095 0 0 0 0 0
W 6262104 15248146 368855 FIB 5093 0 0 0 0 0
W 6262104 15248146 368855 FIB 5096 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 321 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 321 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 322 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 321 0 0 0 0 0
NW 1207945 2840208 128569 2LVBQDK 321 0 0 0 0 0
NW 1207945 2840208 128569 1LVBQ 358 0 0 0 0 0
