nome n m c fila run l1 l2 llc cycles
CAL 1890815 4657742 215354 4AH 940 15837015 10538103 1020445 2717551738
CAL 1890815 4657742 215354 RH 1575 16001521 10291904 1047498 4652359050
CAL 1890815 4657742 215354 RH 1583 15968233 10359196 1033305 4672083402
CAL 1890815 4657742 215354 RH 1578 16000362 10304721 1029867 4660958187
CAL 1890815 4657742 215354 RH 1582 16050178 10511472 1031178 4677429213
CAL 1890815 4657742 215354 RH 1578 15922713 10336591 1029190 4662577882
CAL 1890815 4657742 215354 RH 1569 16192618 10538111 1038462 4652575748
CAL 1890815 4657742 215354 RH 1578 16257854 10645825 1031474 4675614449
CAL 1890815 4657742 215354 RH 1569 16152303 10526561 1031022 4650174634
CAL 1890815 4657742 215354 RH 1574 16220879 10594449 1030338 4667670997
CAL 1890815 4657742 215354 RH 1571 16135270 10508694 1031379 4654869268
CAL 1890815 4657742 215354 FIB 1930 15131024 9825767 1051597 5734592549
CAL 1890815 4657742 215354 FIB 1927 15168743 9846104 1054903 5723092958
CAL 1890815 4657742 215354 FIB 1939 15191378 9919552 1052395 5757781985
CAL 1890815 4657742 215354 FIB 1928 15282487 9950248 1050775 5729458153
CAL 1890815 4657742 215354 FIB 1927 15181296 9863978 1050329 5727012954
CAL 1890815 4657742 215354 FIB 1920 15377285 10049759 1048622 5718948532
CAL 1890815 4657742 215354 FIB 1920 15420645 10066905 1051746 5716453408
CAL 1890815 4657742 215354 FIB 1917 15382322 10048328 1048170 5709572794
CAL 1890815 4657742 215354 FIB 1918 15400332 10080610 1053463 5711757190
CAL 1890815 4657742 215354 FIB 1925 15394145 10078180 1050708 5730432027
COL 435666 1057066 137384 1LVBQ 193 8141146 7335909 375372 542482986
COL 435666 1057066 137384 1LVBQ 191 8093079 7233781 376995 535833723
COL 435666 1057066 137384 1LVBQ 191 8079198 7244922 374646 536522736
COL 435666 1057066 137384 1LVBQ 188 8100479 7241757 363265 529714212
COL 435666 1057066 137384 1LVBQ 190 8099262 7228566 378011 533816764
COL 435666 1057066 137384 1LVBQ 191 8095213 7242697 376543 536483725
