nome n m c fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
GEN6 100000 500000 1999996 6LVBQ 59 59 1962652 2485043 87466 259255663 648268516 88997 0 82197603 439455
GEN6 100000 500000 1999996 6LVBQ 71 71 1979571 2457824 181376 294986037 648271119 99038 0 82198277 440102
GEN6 100000 500000 1999996 1LVBQDK 65 65 4094613 5766884 255428 262261469 448050802 228363 4097 48052309 331117
GEN6 100000 500000 1999996 1LVBQDK 63 63 4117442 5797867 251678 259077323 448049994 248073 3878 48051941 331747
GEN6 100000 500000 1999996 1LVBQDK 62 62 4353152 6001499 277520 264826898 448046681 242197 195 48048352 331509
GEN6 100000 500000 1999996 1LVBQDK 60 60 4355093 6019330 254436 259142935 448045993 240720 0 48048039 332665
GEN6 100000 500000 1999996 1LVBQDK 60 60 4371093 6045602 251577 260027674 448046257 242533 0 48048090 331454
GEN6 100000 500000 1999996 1LVBQDK 60 60 4362617 6028951 249468 259112548 448046279 239069 0 48048106 331983
GEN6 100000 500000 1999996 1LVBQDK 60 60 4360853 6020468 253300 259903048 448046048 240961 0 48048057 331048
GEN6 100000 500000 1999996 1LVBQDK 60 60 4352686 6001071 255206 258902005 448046128 231501 0 48048083 331345
GEN6 100000 500000 1999996 1LVBQDK 61 61 4356540 6010315 250882 262470086 448045823 235415 0 48047999 331322
GEN6 100000 500000 1999996 1LVBQDK 63 63 4346781 5915337 279033 266445369 448045947 234328 0 48048038 331150
GEN6 100000 500000 1999996 2LVBQDK 43 43 3323221 3893183 126813 192144259 335101321 124195 0 37994074 347013
GEN6 100000 500000 1999996 2LVBQDK 42 42 3314293 3888080 111601 187448555 335102616 125800 0 37994375 346169
GEN6 100000 500000 1999996 2LVBQDK 41 41 3319665 3888128 105124 184726551 335103066 127446 0 37994481 346510
GEN6 100000 500000 1999996 2LVBQDK 41 41 3322144 3895933 101747 184133145 335102678 122604 0 37994393 347656
GEN6 100000 500000 1999996 2LVBQDK 42 42 3323879 3901024 107519 185750111 335102919 123579 0 37994438 346260
GEN6 100000 500000 1999996 2LVBQDK 42 42 3322439 3900453 115582 187745689 335103095 122424 0 37994489 346895
GEN6 100000 500000 1999996 2LVBQDK 41 41 3312882 3894592 99695 184380413 335102777 122356 0 37994416 346382
GEN6 100000 500000 1999996 2LVBQDK 42 42 3322785 3896930 108011 186082382 335102836 121684 0 37994437 346570
GEN6 100000 500000 1999996 2LVBQDK 41 41 3315567 3897432 106166 184447747 335102656 124915 0 37994382 346532
GEN6 100000 500000 1999996 2LVBQDK 41 41 3319482 3897823 103799 184110518 335102939 120820 0 37994454 347103
GEN6 100000 500000 1999996 3LVBQDK 38 38 2902497 4033967 108310 168546214 296157297 130507 0 31000598 335446
GEN6 100000 500000 1999996 3LVBQDK 38 38 2899492 4030831 108552 168725513 296158342 132319 0 31000838 335363
GEN6 100000 500000 1999996 3LVBQDK 38 38 2898920 4037840 105509 169064890 296158153 131018 0 31000795 335726
GEN6 100000 500000 1999996 3LVBQDK 39 39 2910120 4037404 122428 171790345 296158595 131833 0 31000901 336122
GEN6 100000 500000 1999996 3LVBQDK 39 39 2895233 4015298 114390 170601968 296158366 130007 0 31000851 336376
