nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM3 100000 500000 1000 144922 100000 44922 2106 1LVBQDK 30 30 70261789 2262599 695226 84112 67907812 133587865 44321 0 23376888 173505
MEM3 100000 500000 1000 146112 100607 45505 4941 2LVBQDK 34 34 85520184 2367769 718547 82063 85867340 175084047 52597 315 25816330 184893
MEM3 100000 500000 1000 145559 100373 45186 4978 2LVBQDK 33 33 83466184 2381210 714227 78932 86774428 176449630 56157 16 25542560 181940
MEM3 100000 500000 1000 145689 100354 45335 4940 2LVBQDK 33 33 83802833 2375827 712481 82472 82637443 163250851 55831 0 25631068 177186
MEM3 100000 500000 1000 146539 100619 45920 4995 2LVBQDK 33 33 84210383 2388244 716314 86733 78146646 161041412 51511 0 25638757 177050
MEM3 100000 500000 1000 147354 100825 46529 5135 2LVBQDK 34 34 84844438 2452132 745993 87966 79547858 161464484 45575 0 25705783 179319
MEM3 100000 500000 1000 145053 100220 44833 4883 2LVBQDK 33 33 86369568 2459680 731065 80857 77360630 161082384 43782 0 25688408 176504
MEM3 100000 500000 1000 146515 100596 45919 4940 2LVBQDK 34 34 87106201 2385743 726496 83275 82273273 169294915 46306 0 26512714 179390
MEM3 100000 500000 1000 146916 100774 46142 5113 2LVBQDK 33 33 86170618 2428287 722462 81337 84388208 174038120 52450 0 26615474 183667
MEM3 100000 500000 1000 145738 100293 45445 5004 2LVBQDK 37 37 84042674 2432074 727681 117608 87002516 162498898 52534 0 25083674 180852
MEM3 100000 500000 1000 147795 100897 46898 5051 2LVBQDK 34 34 87445186 2477338 739069 84514 78969552 162680048 47216 0 25744941 178942
MEM3 100000 500000 1000 149674 101654 48020 737 3LVBQDK 37 37 98223825 2317212 712040 90840 87427425 186232400 54848 1238 26836567 201125
MEM3 100000 500000 1000 149262 101645 47617 699 3LVBQDK 37 37 99263213 2246629 730376 94784 89454160 194973092 49737 248 27351546 198134
MEM3 100000 500000 1000 149167 101607 47560 762 3LVBQDK 36 36 98502316 2332911 713960 88893 87933178 181187039 59324 195 27402538 211470
MEM3 100000 500000 1000 149456 101637 47819 724 3LVBQDK 36 36 98705095 2344171 709779 87436 87257413 187175378 56820 0 27242787 205035
MEM3 100000 500000 1000 149485 101661 47824 739 3LVBQDK 37 37 99087191 2355114 714788 101271 84234803 180312405 53417 0 27206371 202161
MEM3 100000 500000 1000 149522 101639 47883 756 3LVBQDK 36 36 99137471 2315464 714986 91654 87035347 192940443 50273 0 27303436 198007
MEM3 100000 500000 1000 148927 101597 47330 691 3LVBQDK 36 36 96766264 2317190 708886 90925 88691055 190593087 50074 0 27497824 201939
MEM3 100000 500000 1000 149488 101728 47760 750 3LVBQDK 36 36 99055610 2344415 712397 87140 87412837 185045160 59547 0 27301323 201226
MEM3 100000 500000 1000 149594 101592 48002 723 3LVBQDK 36 36 99024406 2337112 708537 90146 86561524 183322449 55589 0 27382219 208739
MEM3 100000 500000 1000 149384 101630 47754 707 3LVBQDK 36 36 96100077 2324540 712063 87396 86555611 189340222 52359 345 28036321 211041
MEM3 100000 500000 1000 150617 101777 48840 828 4LVBQDK 39 39 107355852 2482456 714778 92598 98996190 217789334 58894 495 28086110 215116
MEM3 100000 500000 1000 150116 101969 48147 788 4LVBQDK 38 38 109756656 2511535 729160 88795 87588910 195166940 51945 0 28702156 225755
MEM3 100000 500000 1000 149920 101772 48148 765 4LVBQDK 39 39 107342262 2492754 712627 96508 100072770 206318032 60904 0 28710568 234105
MEM3 100000 500000 1000 150072 101814 48258 793 4LVBQDK 38 38 108379355 2530755 728483 89719 87961099 205296705 51773 0 28597146 210231
MEM3 100000 500000 1000 150439 101803 48636 779 4LVBQDK 38 38 107248719 2496532 740061 94101 94761690 208746621 51701 0 27665018 221598
MEM3 100000 500000 1000 150265 102003 48262 785 4LVBQDK 38 38 110029293 2507935 734135 90019 95837542 215588811 51011 0 28611645 213224
MEM3 100000 500000 1000 150149 102042 48107 810 4LVBQDK 39 39 107576612 2502928 737015 99574 89381165 198586116 46329 0 27847047 206744
MEM3 100000 500000 1000 150678 101852 48826 777 4LVBQDK 39 39 107574757 2512105 724538 88938 99829100 214113549 54927 0 28804410 222940
MEM3 100000 500000 1000 149766 101916 47850 796 4LVBQDK 41 41 107508373 2487226 748186 111024 92812847 196495766 53706 397 28090379 226929
MEM3 100000 500000 1000 150417 101990 48427 776 4LVBQDK 38 38 110128392 2542727 728268 89263 97607231 213157561 58216 0 28551058 217179
MEM3 100000 500000 1000 144920 100007 44913 1458 5LVBQDK 43 43 129491032 2880733 734877 89430 107060595 244755478 52879 443 29724815 237896
MEM3 100000 500000 1000 144827 100005 44822 1468 5LVBQDK 43 43 125511775 2962172 739575 88142 108386987 254132472 56667 0 29902223 214221
MEM3 100000 500000 1000 144925 100006 44919 1465 5LVBQDK 42 42 127125323 2873898 729599 89347 106368019 249936010 58302 0 29553096 214916
MEM3 100000 500000 1000 144936 100009 44927 1463 5LVBQDK 42 42 124469269 2904402 741076 90810 100854226 235350055 55515 16 29701164 221117
MEM3 100000 500000 1000 144605 100009 44596 1495 5LVBQDK 42 42 125221306 2868837 741455 90642 98814265 234248538 51617 0 29456368 223080
MEM3 100000 500000 1000 144901 100013 44888 1425 5LVBQDK 43 43 129248469 2954332 752220 89783 100926908 233876019 53398 398 29930549 229302
MEM3 100000 500000 1000 145068 100007 45061 1428 5LVBQDK 42 42 128368942 2958383 757179 87551 99742413 229158891 45682 0 29542866 222848
MEM3 100000 500000 1000 144743 100004 44739 1446 5LVBQDK 46 46 129238829 2904836 736302 111672 111565394 248209127 58538 98 29992249 216553
MEM3 100000 500000 1000 144638 100009 44629 1430 5LVBQDK 42 42 127803904 2958255 772325 93110 99464549 239818178 50074 0 29658586 210895
MEM3 100000 500000 1000 144713 100015 44698 1427 5LVBQDK 43 43 126444610 2979444 743073 92591 100721252 238590960 51378 96 29407394 206472
MEM3 100000 500000 1000 144663 100006 44657 1482 6LVBQDK 44 44 131492880 2926142 728136 91315 106758056 251149879 49227 496 30070262 224623
MEM3 100000 500000 1000 145061 100008 45053 1470 6LVBQDK 43 43 128626997 2926866 741948 87625 108394430 252847492 54632 0 30115613 223721
