nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298999 298999 0 1094995 4414 2LVBQ 67 67 237870548 1984363 182918 96774 172587275 503039799 9004 0 93350196 632600
NY 264346 733846 36946 299325 299325 0 1270152 5180 2LVBQ 67 67 246469507 1899996 164142 82776 176472422 526426949 6849 0 97147605 628746
NY 264346 733846 36946 299072 299072 0 1033508 4179 2LVBQ 68 68 235013606 1981505 180873 97791 178481479 504801809 8605 0 92821302 641362
NY 264346 733846 36946 298859 298859 0 0 298859 3LVBQ 84 85 308740193 1687696 186958 92625 215741958 648326728 9345 0 114382914 735896
NY 264346 733846 36946 298556 298556 0 0 298556 3LVBQ 82 82 303606007 1743720 176581 80496 204243529 627625934 8826 0 112165394 715968
NY 264346 733846 36946 298907 298907 0 0 298907 3LVBQ 82 82 304440033 1725623 162812 73159 202505734 627910371 8052 0 111954433 709708
NY 264346 733846 36946 299069 299069 0 0 299069 3LVBQ 84 84 310701465 1621251 182431 85826 211950289 644396050 7571 0 114267200 736933
NY 264346 733846 36946 299012 299012 0 0 299012 3LVBQ 85 85 312783480 1665491 182009 90317 213867649 651275324 9217 0 115185263 733714
NY 264346 733846 36946 299053 299053 0 0 299053 3LVBQ 85 85 311084286 1639620 179720 85569 215361729 649849571 7278 0 114926190 745560
NY 264346 733846 36946 298996 298996 0 0 298996 3LVBQ 87 87 318611175 1561630 178622 97625 220507371 665848702 7566 0 116938765 743335
NY 264346 733846 36946 298911 298911 0 0 298911 3LVBQ 82 82 299388284 1780046 187813 82792 203084852 619364632 10617 0 110500414 714886
NY 264346 733846 36946 299338 299338 0 0 299338 3LVBQ 86 86 319873402 1602932 166053 78564 220250479 667935354 6735 0 117688323 742558
NY 264346 733846 36946 299274 299274 0 0 299274 3LVBQ 84 84 309345933 1673727 156501 67266 208162426 638101380 6681 0 113539060 712956
NY 264346 733846 36946 298543 298543 0 0 298543 4LVBQ 89 89 335931780 1662303 182497 83623 221069773 684729310 10208 0 120991393 769790
NY 264346 733846 36946 299269 299269 0 0 299269 4LVBQ 91 91 334843838 1659581 192779 91394 228868671 696461698 8929 0 122180592 792204
NY 264346 733846 36946 298641 298641 0 0 298641 4LVBQ 93 93 346452709 1485957 180908 90570 238403138 725180362 7290 0 126089341 819193
NY 264346 733846 36946 299016 299016 0 0 299016 4LVBQ 93 93 342395361 1530089 178031 85953 231009433 706629507 7577 0 124033593 796778
NY 264346 733846 36946 298782 298782 0 0 298782 4LVBQ 89 89 334473555 1657534 173153 69616 221103397 684481333 8380 0 121348223 765347
NY 264346 733846 36946 298958 298958 0 0 298958 4LVBQ 92 92 342341320 1623845 169410 77067 226596506 703369823 7681 0 123627116 794884
NY 264346 733846 36946 298617 298617 0 0 298617 4LVBQ 89 89 337383149 1646872 173175 70564 220883158 685395610 8800 0 121292637 768059
NY 264346 733846 36946 299397 299397 0 0 299397 4LVBQ 91 91 338685184 1608783 157490 67381 223584888 697294294 7887 0 122958721 775319
NY 264346 733846 36946 298731 298731 0 0 298731 4LVBQ 90 90 335459604 1689425 185721 87087 220796396 676540798 9723 0 119942246 762740
NY 264346 733846 36946 298726 298726 0 0 298726 4LVBQ 91 91 336505001 1628812 188122 87440 224918786 694418614 8051 0 122446210 798172
NY 264346 733846 36946 299024 299024 0 0 299024 5LVBQ 97 97 367853645 1636037 164910 72263 242811659 763149228 8444 0 131815963 828459
NY 264346 733846 36946 298994 298994 0 0 298994 5LVBQ 98 98 367006889 1671120 195848 90323 243615414 758532324 9071 0 131856966 833501
NY 264346 733846 36946 297744 297744 0 0 297744 5LVBQ 99 99 378678749 1518274 154761 65362 241645064 769902217 6812 0 134844264 850025
NY 264346 733846 36946 298675 298675 0 0 298675 5LVBQ 100 100 368838609 1580421 189963 96049 246355363 758348406 7582 0 132370050 842665
NY 264346 733846 36946 299126 299126 0 0 299126 5LVBQ 99 99 367968280 1645299 191843 91346 242183265 749511497 8891 0 130995676 830097
